Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=143.FM.M.U2.EUR.DS.EI.DJES50I.HSTA&start=01-01-1997&end=01-04-2022&submitOptions.x=0&submitOptions.y=0&trans=N&periodSortOrder=ASC
,FM.M.U2.EUR.DS.EI.DJES50I.HSTA
,"Euro area (changing composition) - Equity/index - Dow Jones Euro Stoxx 50 Price Index - Historical close, average of observations through period - Euro, provided by DataStream"
Collection:,Average of observations through period (A)
Period\Unit:,[Points ]
,,obs. status
2009Feb,2159.8429,Normal value (A)
2009Mar,1993.9261,Normal value (A)
2009Apr,2256.2653,Normal value (A)
2009May,2426.6817,Normal value (A)
2009Jun,2449.0250,Normal value (A)
2009Jul,2462.0957,Normal value (A)
2009Aug,2702.6529,Normal value (A)
2009Sep,2827.9335,Normal value (A)
2009Oct,2865.4845,Normal value (A)
2009Nov,2843.7717,Normal value (A)
2009Dec,2907.6464,Normal value (A)
2010Jan,2922.7227,Normal value (A)
2010Feb,2727.4831,Normal value (A)
2010Mar,2890.4663,Normal value (A)
2010Apr,2937.3015,Normal value (A)
2010May,2642.1311,Normal value (A)
2010Jun,2641.6554,Normal value (A)
2010Jul,2669.4978,Normal value (A)
2010Aug,2712.2325,Normal value (A)
2010Sep,2766.0879,Normal value (A)
2010Oct,2817.7093,Normal value (A)
2010Nov,2809.6456,Normal value (A)
2010Dec,2825.5793,Normal value (A)
2011Jan,2900.6930,Normal value (A)
2011Feb,3015.7335,Normal value (A)
2011Mar,2890.3620,Normal value (A)
2011Apr,2947.1597,Normal value (A)
2011May,2885.7684,Normal value (A)
2011Jun,2766.6060,Normal value (A)
2011Jul,2743.4610,Normal value (A)
2011Aug,2297.2124,Normal value (A)
2011Sep,2124.3133,Normal value (A)
2011Oct,2312.2991,Normal value (A)
2011Nov,2239.5802,Normal value (A)
2011Dec,2283.2952,Normal value (A)
2012Jan,2382.0659,Normal value (A)
2012Feb,2508.2433,Normal value (A)
2012Mar,2532.1834,Normal value (A)
2012Apr,2340.7787,Normal value (A)
2012May,2198.5031,Normal value (A)
2012Jun,2152.7450,Normal value (A)
2012Jul,2258.3579,Normal value (A)
2012Aug,2424.5009,Normal value (A)
2012Sep,2530.6890,Normal value (A)
2012Oct,2503.4688,Normal value (A)
2012Nov,2513.9832,Normal value (A)
2012Dec,2625.5536,Normal value (A)
2013Jan,2715.3045,Normal value (A)
2013Feb,2630.3974,Normal value (A)
2013Mar,2680.1790,Normal value (A)
2013Apr,2636.3469,Normal value (A)
2013May,2785.7691,Normal value (A)
2013Jun,2655.7603,Normal value (A)
2013Jul,2686.5315,Normal value (A)
2013Aug,2803.8492,Normal value (A)
2013Sep,2864.5557,Normal value (A)
2013Oct,2988.8820,Normal value (A)
2013Nov,3055.9819,Normal value (A)
2013Dec,3010.1982,Normal value (A)
2014Jan,3092.4019,Normal value (A)
2014Feb,3085.8652,Normal value (A)
2014Mar,3093.9669,Normal value (A)
2014Apr,3171.5316,Normal value (A)
2014May,3197.3987,Normal value (A)
2014Jun,3271.6899,Normal value (A)
2014Jul,3192.3085,Normal value (A)
2014Aug,3089.0545,Normal value (A)
2014Sep,3233.3778,Normal value (A)
2014Oct,3029.5749,Normal value (A)
2014Nov,3126.1449,Normal value (A)
2014Dec,3159.7749,Normal value (A)
2015Jan,3207.2584,Normal value (A)
2015Feb,3453.7857,Normal value (A)
2015Mar,3655.3063,Normal value (A)
2015Apr,3733.8009,Normal value (A)
2015May,3617.8647,Normal value (A)
2015Jun,3521.7748,Normal value (A)
2015Jul,3545.0976,Normal value (A)
2015Aug,3444.4059,Normal value (A)
2015Sep,3165.4608,Normal value (A)
2015Oct,3275.4787,Normal value (A)
2015Nov,3439.5713,Normal value (A)
2015Dec,3288.6340,Normal value (A)
2016Jan,3030.5048,Normal value (A)
2016Feb,2862.5877,Normal value (A)
2016Mar,3031.4185,Normal value (A)
2016Apr,3031.1839,Normal value (A)
2016May,2983.7033,Normal value (A)
2016Jun,2910.8024,Normal value (A)
2016Jul,2919.0795,Normal value (A)
2016Aug,2992.8668,Normal value (A)
2016Sep,3012.0926,Normal value (A)
2016Oct,3042.3324,Normal value (A)
2016Nov,3026.3959,Normal value (A)
2016Dec,3207.2712,Normal value (A)
2017Jan,3298.7696,Normal value (A)
2017Feb,3293.0971,Normal value (A)
2017Mar,3427.1040,Normal value (A)
2017Apr,3491.8341,Normal value (A)
2017May,3601.8720,Normal value (A)
2017Jun,3547.8494,Normal value (A)
2017Jul,3483.8940,Normal value (A)
2017Aug,3451.3417,Normal value (A)
2017Sep,3507.1224,Normal value (A)
2017Oct,3614.7455,Normal value (A)
2017Nov,3601.4313,Normal value (A)
2017Dec,3564.6553,Normal value (A)
2018Jan,3612.1638,Normal value (A)
2018Feb,3426.7103,Normal value (A)
2018Mar,3374.2947,Normal value (A)
2018Apr,3457.6183,Normal value (A)
2018May,3537.0866,Normal value (A)
2018Jun,3442.7680,Normal value (A)
2018Jul,3460.8867,Normal value (A)
2018Aug,3436.8280,Normal value (A)
2018Sep,3365.2269,Normal value (A)
2018Oct,3244.5498,Normal value (A)
2018Nov,3186.4039,Normal value (A)
2018Dec,3057.8389,Normal value (A)
2019Jan,3088.6544,Normal value (A)
2019Feb,3223.0709,Normal value (A)
2019Mar,3332.8554,Normal value (A)
2019Apr,3458.7648,Normal value (A)
2019May,3385.4121,Normal value (A)
2019Jun,3405.9535,Normal value (A)
2019Jul,3507.8028,Normal value (A)
2019Aug,3355.3239,Normal value (A)
2019Sep,3514.5310,Normal value (A)
2019Oct,3551.2227,Normal value (A)
2019Nov,3693.1410,Normal value (A)
2019Dec,3715.3338,Normal value (A)
2020Jan,3758.2412,Normal value (A)
2020Feb,3734.9243,Normal value (A)
2020Mar,2824.1785,Normal value (A)
2020Apr,2839.5760,Normal value (A)
2020May,2909.3244,Normal value (A)
2020Jun,3237.3927,Normal value (A)
2020Jul,3316.2912,Normal value (A)
2020Aug,3297.6679,Normal value (A)
2020Sep,3260.7333,Normal value (A)
2020Oct,3180.3902,Normal value (A)
2020Nov,3391.7936,Normal value (A)
2020Dec,3530.9469,Normal value (A)
2021Jan,3592.2347,Normal value (A)
2021Feb,3667.1431,Normal value (A)
2021Mar,3813.2931,Normal value (A)
2021Apr,3987.2866,Normal value (A)
2021May,4003.5907,Normal value (A)
2021Jun,4105.8088,Normal value (A)
2021Jul,4062.6065,Normal value (A)
2021Aug,4177.0259,Normal value (A)
2021Sep,4158.2860,Normal value (A)
2021Oct,4132.2290,Normal value (A)
2021Nov,4306.3553,Normal value (A)
2022Jan,4252.3260,Normal value (A)
2022Feb,4084.0970,Normal value (A)
2022Mar,3796.5993,Normal value (A)
