"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1989-10",102.3121,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1989-11",102.3717,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1989-12",102.4443,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1990-01",102.4485,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1990-02",102.4313,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1990-03",102.4076,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1990-04",102.4397,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1990-05",102.4737,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1990-06",102.4635,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1990-07",102.3057,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1990-08",101.8812,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1990-09",101.2438,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1990-10",100.8574,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1990-11",100.7332,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1990-12",100.5971,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1991-01",100.3581,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1991-02",100.3066,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1991-03",100.4779,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1991-04",100.5796,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1991-05",100.5696,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1991-06",100.3357,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1991-07",100.0186,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1991-08",99.87064,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1991-09",99.91608,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1991-10",99.91196,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1991-11",99.86509,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1991-12",99.81741,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1992-01",99.79913,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1992-02",99.78258,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1992-03",99.63798,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1992-04",99.43136,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1992-05",99.28781,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1992-06",99.22303,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1992-07",99.16184,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1992-08",98.97173,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1992-09",98.64909,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1992-10",98.2592,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1992-11",97.88387,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1992-12",97.60496,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1993-01",97.47341,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1993-02",97.41306,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1993-03",97.38345,
